base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
Sc,Sc,0.444,v2,Al,5,4,55.56
Sc,Sc,0.444,v2,Al,6,4,55.56
Sc,Sc,0.444,v2,Al,7,4,55.56
Sc,Sc,0.444,v2,Al,8,4,55.56
Sc,Sc,0.444,v2,Al,9,4,55.56
Sc,Sc,0.444,v2,Al,10,4,55.56
Sc,Sc,0.444,v2,Al,11,4,55.56
Sc,Sc,0.444,v2,Al,12,4,55.56
Sc,Sc,0.444,v2,Al,13,4,55.56
Sc,Sc,0.444,v2,Al,14,4,55.56
Sc,Sc,0.444,v2,Al,15,4,55.56
Sc,Sc,0.444,v2,Al,16,4,55.56
Sc,Sc,0.444,v2,Al,17,4,55.56
Sc,Sc,0.444,v2,Al,18,4,55.56
Sc,Sc,0.444,v2,Al,19,4,55.56
Sc,Sc,0.444,v2,Al,20,4,55.56
Sc,Sc,0.444,v2,Sc,21,5,2.78
Sc,Sc,0.444,v2,Sc,22,4,41.67
